,Year,Sex,Race,Age,Rate
547,2001,Male,Hispanic,42,0.00245380192063749
548,2001,Male,Hispanic,43,0.00261725205928087
549,2001,Male,Hispanic,44,0.00277225603349507
550,2001,Male,Hispanic,45,0.00293167913332582
551,2001,Male,Hispanic,46,0.00311750709079206
552,2001,Male,Hispanic,47,0.00334638962522149
553,2001,Male,Hispanic,48,0.00363652687519789
554,2001,Male,Hispanic,49,0.00398422731086612
555,2001,Male,Hispanic,50,0.00437829596921802
556,2001,Male,Hispanic,51,0.00479913176968694
557,2001,Male,Hispanic,52,0.00523197557777166
558,2001,Male,Hispanic,53,0.00565194757655263
559,2001,Male,Hispanic,54,0.0060594454407692
560,2001,Male,Hispanic,55,0.00649310229346156
561,2001,Male,Hispanic,56,0.00696542859077454
562,2001,Male,Hispanic,57,0.00744801200926304
563,2001,Male,Hispanic,58,0.00794961396604776
564,2001,Male,Hispanic,59,0.00849724095314741
565,2001,Male,Hispanic,60,0.0091100912541151
566,2001,Male,Hispanic,61,0.00982317887246609
567,2001,Male,Hispanic,62,0.0106716193258762
568,2001,Male,Hispanic,63,0.011656423099339
569,2001,Male,Hispanic,64,0.012746044434607
570,2001,Male,Hispanic,65,0.0139131704345345
571,2001,Male,Hispanic,66,0.0151725830510259
572,2001,Male,Hispanic,67,0.0165481548756361
573,2001,Male,Hispanic,68,0.0180805511772633
574,2001,Male,Hispanic,69,0.0197905469685793
575,2001,Male,Hispanic,70,0.0216334033757448
576,2001,Male,Hispanic,71,0.0235959347337484
577,2001,Male,Hispanic,72,0.0257477499544621
578,2001,Male,Hispanic,73,0.0281033553183079
579,2001,Male,Hispanic,74,0.0306434575468302
580,2001,Male,Hispanic,75,0.0332486778497696
581,2001,Male,Hispanic,76,0.0360594354569912
582,2001,Male,Hispanic,77,0.0394498482346535
583,2001,Male,Hispanic,78,0.0435463115572929
584,2001,Male,Hispanic,79,0.0483999960124493
585,2001,Male,Hispanic,80,0.0541129410266876
586,2001,Male,Hispanic,81,0.0604123435914516
587,2001,Male,Hispanic,82,0.0666905790567398
588,2001,Male,Hispanic,83,0.0732032284140587
589,2001,Male,Hispanic,84,0.0815317556262016
590,2001,Male,Hispanic,85,0.0907909348607063
591,2001,Male,Hispanic,86,0.100905552506447
592,2001,Male,Hispanic,87,0.111909843981266
593,2001,Male,Hispanic,88,0.123829238116741
594,2001,Male,Hispanic,89,0.136678144335747
595,2001,Male,Hispanic,90,0.150457695126534
596,2001,Male,Hispanic,91,0.165153741836548
597,2001,Male,Hispanic,92,0.180734872817993
598,2001,Male,Hispanic,93,0.197151228785515
599,2001,Male,Hispanic,94,0.214333802461624
600,2001,Male,Hispanic,95,0.232194513082504
601,2001,Male,Hispanic,96,0.250627219676971
602,2001,Male,Hispanic,97,0.269509643316269
603,2001,Male,Hispanic,98,0.288706392049789
604,2001,Male,Hispanic,99,0.308072417974472
605,2001,Male,Hispanic,100,1.0
606,2001,Male,Other,0,0.007514
607,2001,Male,Other,1,0.000567
608,2001,Male,Other,2,0.000376
609,2001,Male,Other,3,0.000281
610,2001,Male,Other,4,0.000237
611,2001,Male,Other,5,0.0002
612,2001,Male,Other,6,0.000185
613,2001,Male,Other,7,0.000172
614,2001,Male,Other,8,0.000152
615,2001,Male,Other,9,0.000127
616,2001,Male,Other,10,0.000109
617,2001,Male,Other,11,0.000117
618,2001,Male,Other,12,0.000173
619,2001,Male,Other,13,0.00029
620,2001,Male,Other,14,0.000453
621,2001,Male,Other,15,0.000634
622,2001,Male,Other,16,0.000807
623,2001,Male,Other,17,0.000965
624,2001,Male,Other,18,0.001093
625,2001,Male,Other,19,0.001194
626,2001,Male,Other,20,0.001298
627,2001,Male,Other,21,0.001398
628,2001,Male,Other,22,0.001457
629,2001,Male,Other,23,0.001466
630,2001,Male,Other,24,0.001437
631,2001,Male,Other,25,0.001393
632,2001,Male,Other,26,0.001358
633,2001,Male,Other,27,0.001334
634,2001,Male,Other,28,0.001335
635,2001,Male,Other,29,0.001356
636,2001,Male,Other,30,0.001382
637,2001,Male,Other,31,0.001416
638,2001,Male,Other,32,0.001486
639,2001,Male,Other,33,0.001572
640,2001,Male,Other,34,0.001694
641,2001,Male,Other,35,0.001831
642,2001,Male,Other,36,0.001975
643,2001,Male,Other,37,0.002126
644,2001,Male,Other,38,0.002282
645,2001,Male,Other,39,0.002445
646,2001,Male,Other,40,0.002615
647,2001,Male,Other,41,0.0028
648,2001,Male,Other,42,0.003012
649,2001,Male,Other,43,0.003263
650,2001,Male,Other,44,0.003552
651,2001,Male,Other,45,0.003872
652,2001,Male,Other,46,0.004211
653,2001,Male,Other,47,0.004561
654,2001,Male,Other,48,0.004908
655,2001,Male,Other,49,0.005253
656,2001,Male,Other,50,0.005618
657,2001,Male,Other,51,0.006014
658,2001,Male,Other,52,0.006438
659,2001,Male,Other,53,0.006907
660,2001,Male,Other,54,0.007442
661,2001,Male,Other,55,0.008063
662,2001,Male,Other,56,0.008771
663,2001,Male,Other,57,0.009564
664,2001,Male,Other,58,0.010427
665,2001,Male,Other,59,0.01136
666,2001,Male,Other,60,0.012414
667,2001,Male,Other,61,0.013613
668,2001,Male,Other,62,0.014905
669,2001,Male,Other,63,0.016265
670,2001,Male,Other,64,0.0177
671,2001,Male,Other,65,0.019206
